Year,Units,Age,Types of skills,Regions,Value
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty city,33.8
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty city,164.9
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty city,161.3
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty city,38.3
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Almaty city,8.5
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Almaty city,15.6
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Almaty city,60.5
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Almaty city,14.4
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Almaty city,9.7
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Almaty city,51.2
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Almaty city,65.6
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Almaty city,18.6
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty city,18.4
